company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
INDUSINDBK,2014-03,-,-,+,Growth Funded by Debt
INDUSINDBK,2015-03,-,-,+,Growth Funded by Debt
INDUSINDBK,2016-03,-,-,+,Growth Funded by Debt
INDUSINDBK,2017-03,+,-,-,Shareholder Returns
INDUSINDBK,2018-03,-,-,+,Growth Funded by Debt
INDUSINDBK,2019-03,-,-,+,Growth Funded by Debt
INDUSINDBK,2020-03,-,+,+,Distress Signal
INDUSINDBK,2021-03,+,-,-,Shareholder Returns
INDUSINDBK,2022-03,+,-,-,Shareholder Returns
INDUSINDBK,2023-03,-,-,+,Growth Funded by Debt
INDUSINDBK,2024-03,-,-,-,Pre-Revenue
INFY,2013-03,+,-,-,Reinvestor
INFY,2014-03,+,-,-,Reinvestor
INFY,2015-03,+,+,-,Liquidating Assets
INFY,2016-03,+,-,-,Reinvestor
INFY,2017-03,+,-,-,Reinvestor
INFY,2018-03,+,+,-,Liquidating Assets
INFY,2019-03,+,-,-,Reinvestor
INFY,2020-03,+,-,-,Shareholder Returns
INFY,2021-03,+,-,-,Shareholder Returns
INFY,2022-03,+,-,-,Shareholder Returns
INFY,2023-03,+,-,-,Reinvestor
INFY,2024-03,+,-,-,Reinvestor
IOC,2013-03,+,-,+,Mixed
IOC,2014-03,+,-,-,Shareholder Returns
IOC,2015-03,+,-,-,Shareholder Returns
IOC,2016-03,+,-,-,Shareholder Returns
IOC,2017-03,+,-,-,Shareholder Returns
IOC,2018-03,+,-,-,Shareholder Returns
IOC,2019-03,+,-,+,Mixed
IOC,2020-03,+,-,+,Mixed
IOC,2021-03,+,-,-,Shareholder Returns
IOC,2022-03,+,-,-,Shareholder Returns
IOC,2023-03,+,-,-,Shareholder Returns
IOC,2024-03,+,-,-,Shareholder Returns
IRCTC,2015-03,+,-,-,Reinvestor
IRCTC,2016-03,+,+,-,Liquidating Assets
IRCTC,2017-03,+,+,-,Liquidating Assets
IRCTC,2018-03,+,+,-,Liquidating Assets
IRCTC,2019-03,+,-,-,Shareholder Returns
IRCTC,2020-03,+,+,-,Liquidating Assets
IRCTC,2021-03,+,-,-,Shareholder Returns
IRCTC,2022-03,+,-,-,Reinvestor
IRCTC,2023-03,+,-,-,Reinvestor
IRCTC,2024-03,+,-,-,Reinvestor
IRFC,2016-03,-,+,+,Distress Signal
IRFC,2017-03,-,+,+,Distress Signal
IRFC,2018-03,-,+,+,Distress Signal
IRFC,2019-03,-,+,+,Distress Signal
IRFC,2020-03,-,+,+,Distress Signal
IRFC,2021-03,-,+,+,Distress Signal
IRFC,2022-03,-,-,+,Growth Funded by Debt
IRFC,2023-03,-,+,+,Distress Signal
IRFC,2024-03,+,-,-,Shareholder Returns
ITC,2013-03,+,-,-,Reinvestor
ITC,2014-03,+,-,-,Reinvestor
ITC,2015-03,+,-,-,Shareholder Returns
ITC,2016-03,+,-,-,Shareholder Returns
ITC,2017-03,+,-,-,Shareholder Returns
ITC,2018-03,+,-,-,Shareholder Returns
ITC,2019-03,+,-,-,Reinvestor
ITC,2020-03,+,-,-,Reinvestor
ITC,2021-03,+,+,-,Liquidating Assets
ITC,2022-03,+,-,-,Shareholder Returns
ITC,2023-03,+,-,-,Reinvestor
ITC,2024-03,+,+,-,Liquidating Assets
JINDALSTEL,2013-03,+,-,+,Mixed
JINDALSTEL,2014-03,+,-,+,Mixed
JINDALSTEL,2015-03,+,-,+,Mixed
JINDALSTEL,2016-03,+,-,-,Reinvestor
JINDALSTEL,2017-03,+,-,-,Reinvestor
JINDALSTEL,2018-03,+,-,-,Reinvestor
JINDALSTEL,2019-03,+,-,-,Reinvestor
JINDALSTEL,2020-03,+,-,-,Reinvestor
JINDALSTEL,2021-03,+,-,-,Shareholder Returns
JINDALSTEL,2022-03,+,-,-,Shareholder Returns
JINDALSTEL,2023-03,+,-,-,Shareholder Returns
JINDALSTEL,2024-03,+,-,+,Mixed
JIOFIN,2023-03,+,-,-,Shareholder Returns
JIOFIN,2024-03,-,+,-,Mixed
JSWENERGY,2013-03,+,-,-,Shareholder Returns
JSWENERGY,2014-03,+,-,-,Shareholder Returns
JSWENERGY,2015-03,+,-,-,Shareholder Returns
JSWENERGY,2016-03,+,-,-,Shareholder Returns
JSWENERGY,2017-03,+,-,-,Shareholder Returns
JSWENERGY,2018-03,+,-,-,Shareholder Returns
JSWENERGY,2019-03,+,-,-,Shareholder Returns
JSWENERGY,2020-03,+,+,-,Liquidating Assets
JSWENERGY,2021-03,+,-,-,Shareholder Returns
JSWENERGY,2022-03,+,-,-,Shareholder Returns
JSWENERGY,2023-03,+,-,+,Mixed
JSWENERGY,2024-03,+,-,+,Mixed
JSWSTEEL,2013-03,+,-,-,Shareholder Returns
JSWSTEEL,2014-03,+,-,+,Mixed
JSWSTEEL,2015-03,+,-,-,Shareholder Returns
JSWSTEEL,2016-03,+,-,-,Reinvestor
JSWSTEEL,2017-03,+,-,-,Shareholder Returns
JSWSTEEL,2018-03,+,-,-,Shareholder Returns
JSWSTEEL,2019-03,+,-,+,Mixed
JSWSTEEL,2020-03,+,-,+,Mixed
JSWSTEEL,2021-03,+,-,-,Shareholder Returns
JSWSTEEL,2022-03,+,-,-,Shareholder Returns
JSWSTEEL,2023-03,+,-,-,Shareholder Returns
JSWSTEEL,2024-03,+,-,-,Shareholder Returns
KOTAKBANK,2013-03,+,-,+,Mixed
KOTAKBANK,2014-03,+,-,-,Shareholder Returns
KOTAKBANK,2015-03,+,-,+,Mixed
KOTAKBANK,2016-03,+,-,+,Mixed
KOTAKBANK,2017-03,+,-,+,Mixed
KOTAKBANK,2018-03,-,-,+,Growth Funded by Debt
KOTAKBANK,2019-03,+,-,+,Mixed
KOTAKBANK,2020-03,+,-,-,Shareholder Returns
KOTAKBANK,2021-03,+,-,-,Reinvestor
KOTAKBANK,2022-03,+,-,+,Mixed
KOTAKBANK,2023-03,-,-,+,Growth Funded by Debt
KOTAKBANK,2024-03,+,-,+,Mixed
LICI,2019-03,+,+,-,Liquidating Assets
LICI,2020-03,+,-,-,Shareholder Returns
LICI,2021-03,+,+,-,Liquidating Assets
LICI,2022-03,-,+,+,Distress Signal
LICI,2023-03,+,-,-,Shareholder Returns
LICI,2024-03,+,-,-,Reinvestor
LODHA,2016-03,+,-,+,Mixed
LODHA,2017-03,+,-,-,Shareholder Returns
LODHA,2018-03,+,-,+,Mixed
LODHA,2019-03,-,-,+,Growth Funded by Debt
LODHA,2020-03,+,+,-,Liquidating Assets
LODHA,2021-03,+,+,-,Liquidating Assets
LODHA,2022-03,+,+,-,Liquidating Assets
LODHA,2023-03,+,+,-,Liquidating Assets
LODHA,2024-03,+,-,+,Mixed
LT,2013-03,-,-,+,Growth Funded by Debt
LT,2014-03,-,-,+,Growth Funded by Debt
LT,2015-03,-,-,+,Growth Funded by Debt
LT,2016-03,-,-,+,Growth Funded by Debt
LT,2017-03,+,-,+,Mixed
LT,2018-03,-,+,+,Distress Signal
LT,2019-03,-,-,+,Growth Funded by Debt
LT,2020-03,+,-,+,Mixed
LT,2021-03,+,-,-,Shareholder Returns
LT,2022-03,+,-,-,Shareholder Returns
LT,2023-03,+,-,-,Shareholder Returns
LT,2024-03,+,+,-,Liquidating Assets
LTIM,2013-03,+,-,-,Shareholder Returns
LTIM,2014-03,+,+,-,Liquidating Assets
LTIM,2015-03,+,-,-,Reinvestor
LTIM,2016-03,+,-,-,Shareholder Returns
LTIM,2017-03,+,-,-,Shareholder Returns
LTIM,2018-03,+,-,-,Reinvestor
LTIM,2019-03,+,-,-,Reinvestor
LTIM,2020-03,+,-,-,Shareholder Returns
LTIM,2021-03,+,-,-,Shareholder Returns
LTIM,2022-03,+,-,-,Reinvestor
LTIM,2023-03,+,-,-,Reinvestor
LTIM,2024-03,+,-,-,Shareholder Returns
M&M,2013-03,-,-,+,Growth Funded by Debt
M&M,2014-03,-,-,+,Growth Funded by Debt
M&M,2015-03,+,-,+,Mixed
M&M,2016-03,+,-,+,Mixed
M&M,2017-03,+,-,+,Mixed
M&M,2018-03,+,-,+,Mixed
M&M,2019-03,-,-,+,Growth Funded by Debt
M&M,2020-03,-,-,+,Growth Funded by Debt
M&M,2021-03,+,-,+,Mixed
M&M,2022-03,+,-,-,Shareholder Returns
M&M,2023-03,-,-,+,Growth Funded by Debt
M&M,2024-03,-,-,+,Growth Funded by Debt
MARUTI,2013-03,+,-,-,Shareholder Returns
MARUTI,2014-03,+,-,-,Shareholder Returns
MARUTI,2015-03,+,-,-,Shareholder Returns
MARUTI,2016-03,+,-,-,Shareholder Returns
MARUTI,2017-03,+,-,-,Shareholder Returns
MARUTI,2018-03,+,-,-,Shareholder Returns
MARUTI,2019-03,+,-,-,Reinvestor
MARUTI,2020-03,+,-,-,Reinvestor
MARUTI,2021-03,+,-,-,Shareholder Returns
MARUTI,2022-03,+,-,-,Reinvestor
MARUTI,2023-03,+,-,-,Shareholder Returns
MARUTI,2024-03,+,-,-,Shareholder Returns
MOTHERSON,2013-03,+,-,-,Shareholder Returns
MOTHERSON,2014-03,+,-,-,Shareholder Returns
MOTHERSON,2015-03,+,-,+,Mixed
MOTHERSON,2016-03,+,-,-,Shareholder Returns
MOTHERSON,2017-03,+,-,+,Mixed
MOTHERSON,2018-03,+,-,-,Shareholder Returns
MOTHERSON,2019-03,+,-,-,Shareholder Returns
MOTHERSON,2020-03,+,-,-,Shareholder Returns
MOTHERSON,2021-03,+,-,-,Shareholder Returns
MOTHERSON,2022-03,+,-,-,Shareholder Returns
MOTHERSON,2023-03,+,-,-,Shareholder Returns
MOTHERSON,2024-03,+,-,+,Mixed
NAUKRI,2013-03,+,-,-,Reinvestor
NAUKRI,2014-03,+,-,+,Mixed
NAUKRI,2015-03,+,-,+,Mixed
NAUKRI,2016-03,+,-,-,Reinvestor
NAUKRI,2017-03,+,-,-,Reinvestor
NAUKRI,2018-03,+,-,-,Reinvestor
NAUKRI,2019-03,+,-,-,Reinvestor
NAUKRI,2020-03,+,+,-,Liquidating Assets
NAUKRI,2021-03,+,-,+,Mixed
NAUKRI,2022-03,+,-,+,Mixed
NAUKRI,2023-03,+,-,+,Mixed
NAUKRI,2024-03,+,-,+,Mixed
NESTLEIND,2013-12,+,-,-,Shareholder Returns
NESTLEIND,2014-12,+,-,-,Shareholder Returns
NESTLEIND,2015-12,+,-,-,Shareholder Returns
NESTLEIND,2016-12,+,-,-,Shareholder Returns
NESTLEIND,2017-12,+,-,-,Shareholder Returns
NESTLEIND,2018-12,+,-,-,Shareholder Returns
NESTLEIND,2019-12,+,+,-,Liquidating Assets
NESTLEIND,2020-12,+,-,-,Shareholder Returns
NESTLEIND,2021-12,+,-,-,Shareholder Returns
NESTLEIND,2022-12,+,-,-,Shareholder Returns
NESTLEIND,2023-12,+,-,-,Shareholder Returns
NESTLEIND,2024-03,+,-,-,Shareholder Returns
NHPC,2013-03,+,-,-,Reinvestor
NHPC,2014-03,+,-,-,Shareholder Returns
NHPC,2015-03,+,-,-,Shareholder Returns
NHPC,2016-03,+,-,-,Shareholder Returns
NHPC,2017-03,+,-,-,Shareholder Returns
NHPC,2018-03,+,-,-,Shareholder Returns
NHPC,2019-03,+,-,-,Shareholder Returns
NHPC,2020-03,+,-,+,Mixed
NHPC,2021-03,+,-,-,Shareholder Returns
NHPC,2022-03,+,-,-,Shareholder Returns
NHPC,2023-03,+,-,-,Shareholder Returns
NHPC,2024-03,+,-,-,Shareholder Returns
NTPC,2013-03,+,-,+,Mixed
NTPC,2014-03,+,-,-,Shareholder Returns
NTPC,2015-03,+,-,-,Shareholder Returns
NTPC,2016-03,+,-,-,Shareholder Returns
NTPC,2017-03,+,-,+,Mixed
NTPC,2018-03,+,-,+,Mixed
NTPC,2019-03,+,-,+,Mixed
NTPC,2020-03,+,-,+,Mixed
NTPC,2021-03,+,-,-,Shareholder Returns
NTPC,2022-03,+,-,-,Shareholder Returns
NTPC,2023-03,+,-,-,Shareholder Returns
NTPC,2024-03,+,-,-,Shareholder Returns
ONGC,2013-03,+,-,-,Shareholder Returns
ONGC,2014-03,+,-,+,Mixed
ONGC,2015-03,+,-,-,Shareholder Returns
ONGC,2016-03,+,-,-,Shareholder Returns
ONGC,2017-03,+,-,-,Shareholder Returns
ONGC,2018-03,+,-,+,Mixed
ONGC,2019-03,+,-,-,Shareholder Returns
ONGC,2020-03,+,-,-,Shareholder Returns
ONGC,2021-03,+,-,-,Shareholder Returns
ONGC,2022-03,+,-,-,Shareholder Returns
ONGC,2023-03,+,-,-,Shareholder Returns
ONGC,2024-03,+,-,-,Shareholder Returns
PFC,2013-03,-,+,+,Distress Signal
PFC,2014-03,-,+,+,Distress Signal
PFC,2015-03,-,-,+,Growth Funded by Debt
PFC,2016-03,-,-,+,Growth Funded by Debt
PFC,2017-03,+,-,+,Mixed
PFC,2018-03,-,+,+,Distress Signal
PFC,2019-03,-,-,+,Growth Funded by Debt
PFC,2020-03,-,-,+,Growth Funded by Debt
PFC,2021-03,-,+,+,Distress Signal
PFC,2022-03,+,-,-,Reinvestor
PFC,2023-03,-,-,+,Growth Funded by Debt
PFC,2024-03,-,-,+,Growth Funded by Debt
PIDILITIND,2013-03,+,-,-,Shareholder Returns
PIDILITIND,2014-03,+,-,-,Reinvestor
PIDILITIND,2015-03,+,-,-,Shareholder Returns
PIDILITIND,2016-03,+,-,-,Shareholder Returns
PIDILITIND,2017-03,+,-,+,Mixed
PIDILITIND,2018-03,+,+,-,Liquidating Assets
PIDILITIND,2019-03,+,-,-,Reinvestor
PIDILITIND,2020-03,+,+,-,Liquidating Assets
PIDILITIND,2021-03,+,-,-,Shareholder Returns
PIDILITIND,2022-03,+,-,-,Reinvestor
PIDILITIND,2023-03,+,-,-,Shareholder Returns
PIDILITIND,2024-03,+,-,-,Shareholder Returns
PNB,2013-03,-,-,-,Pre-Revenue
PNB,2014-03,+,-,+,Mixed
PNB,2015-03,+,-,+,Mixed
PNB,2016-03,+,-,+,Mixed
PNB,2017-03,+,+,-,Liquidating Assets
PNB,2018-03,-,+,+,Distress Signal
PNB,2019-03,-,-,+,Growth Funded by Debt
PNB,2020-03,-,-,+,Growth Funded by Debt
PNB,2021-03,+,-,+,Mixed
PNB,2022-03,+,-,+,Mixed
PNB,2023-03,+,-,+,Mixed
PNB,2024-03,-,-,+,Growth Funded by Debt
POWERGRID,2013-03,+,-,+,Mixed
POWERGRID,2014-03,+,-,+,Mixed
POWERGRID,2015-03,+,-,+,Mixed
POWERGRID,2016-03,+,-,+,Mixed
POWERGRID,2017-03,+,-,+,Mixed
POWERGRID,2018-03,+,-,+,Mixed
POWERGRID,2019-03,+,-,-,Shareholder Returns
POWERGRID,2020-03,+,-,-,Shareholder Returns
POWERGRID,2021-03,+,-,-,Shareholder Returns
POWERGRID,2022-03,+,+,-,Liquidating Assets
POWERGRID,2023-03,+,-,-,Shareholder Returns
POWERGRID,2024-03,+,-,-,Shareholder Returns
RECLTD,2013-03,-,+,+,Distress Signal
RECLTD,2014-03,-,+,+,Distress Signal
RECLTD,2015-03,-,+,+,Distress Signal
RECLTD,2016-03,-,-,+,Growth Funded by Debt
RECLTD,2017-03,+,-,-,Shareholder Returns
RECLTD,2018-03,-,+,+,Distress Signal
RECLTD,2019-03,-,+,+,Distress Signal
RECLTD,2020-03,-,+,+,Distress Signal
RECLTD,2021-03,-,+,+,Distress Signal
RECLTD,2022-03,-,-,+,Growth Funded by Debt
RECLTD,2023-03,-,-,+,Growth Funded by Debt
RECLTD,2024-03,-,-,+,Growth Funded by Debt
RELIANCE,2013-03,+,-,+,Mixed
RELIANCE,2014-03,+,-,+,Mixed
RELIANCE,2015-03,+,-,+,Mixed
RELIANCE,2016-03,+,-,-,Shareholder Returns
RELIANCE,2017-03,+,-,+,Mixed
RELIANCE,2018-03,+,-,-,Shareholder Returns
RELIANCE,2019-03,+,-,+,Mixed
RELIANCE,2020-03,+,-,-,Shareholder Returns
RELIANCE,2021-03,+,-,+,Mixed
RELIANCE,2022-03,+,-,+,Mixed
RELIANCE,2023-03,+,-,+,Mixed
RELIANCE,2024-03,+,-,-,Shareholder Returns
SBILIFE,2013-03,+,-,-,Shareholder Returns
SBILIFE,2014-03,+,-,-,Reinvestor
SBILIFE,2015-03,+,-,-,Shareholder Returns
SBILIFE,2016-03,+,-,-,Shareholder Returns
SBILIFE,2017-03,+,-,-,Shareholder Returns
SBILIFE,2018-03,+,-,-,Shareholder Returns
SBILIFE,2019-03,+,-,-,Shareholder Returns
SBILIFE,2020-03,+,-,-,Shareholder Returns
SBILIFE,2021-03,+,-,+,Mixed
SBILIFE,2022-03,+,-,-,Shareholder Returns
SBILIFE,2023-03,+,-,-,Shareholder Returns
SBILIFE,2024-03,+,-,-,Shareholder Returns
SHREECEM,2013-06,+,-,-,Shareholder Returns
SHREECEM,2014-06,+,-,-,Shareholder Returns
SHREECEM,2015-06,+,-,-,Shareholder Returns
SHREECEM,2016-03,+,-,-,Shareholder Returns
SHREECEM,2017-03,+,-,-,Shareholder Returns
SHREECEM,2018-03,+,-,+,Mixed
SHREECEM,2019-03,+,-,-,Shareholder Returns
SHREECEM,2020-03,+,-,+,Mixed
SHREECEM,2021-03,+,-,-,Shareholder Returns
SHREECEM,2022-03,+,-,-,Shareholder Returns
SHREECEM,2023-03,+,-,-,Shareholder Returns
SHREECEM,2024-03,+,-,-,Shareholder Returns
SHRIRAMFIN,2013-03,-,-,+,Growth Funded by Debt
SHRIRAMFIN,2014-03,-,-,+,Growth Funded by Debt
SHRIRAMFIN,2015-03,-,-,+,Growth Funded by Debt
SHRIRAMFIN,2016-03,-,-,+,Growth Funded by Debt
SHRIRAMFIN,2017-03,-,-,+,Growth Funded by Debt
SHRIRAMFIN,2018-03,-,+,+,Distress Signal
SHRIRAMFIN,2019-03,-,-,+,Growth Funded by Debt
SHRIRAMFIN,2020-03,-,-,+,Growth Funded by Debt
SHRIRAMFIN,2021-03,-,-,+,Growth Funded by Debt
SHRIRAMFIN,2022-03,-,-,+,Growth Funded by Debt
SHRIRAMFIN,2023-03,-,+,+,Distress Signal
SHRIRAMFIN,2024-03,-,-,+,Growth Funded by Debt
SIEMENS,2011-09,+,+,-,Liquidating Assets
SIEMENS,2014-09,+,+,-,Liquidating Assets
SIEMENS,2015-09,+,+,-,Liquidating Assets
SIEMENS,2016-09,+,+,-,Liquidating Assets
SIEMENS,2017-09,+,+,-,Liquidating Assets
SIEMENS,2018-09,+,-,-,Reinvestor
SIEMENS,2019-09,+,-,-,Shareholder Returns
SIEMENS,2020-09,+,+,-,Liquidating Assets
SIEMENS,2021-09,+,-,-,Shareholder Returns
SIEMENS,2022-09,+,-,-,Reinvestor
SIEMENS,2023-09,+,-,-,Reinvestor
SIEMENS,2024-09,+,-,-,Reinvestor
SUNPHARMA,2013-03,+,-,-,Reinvestor
SUNPHARMA,2014-03,+,-,+,Mixed
SUNPHARMA,2015-03,+,-,-,Shareholder Returns
SUNPHARMA,2016-03,+,-,-,Shareholder Returns
SUNPHARMA,2017-03,+,-,-,Reinvestor
SUNPHARMA,2018-03,+,-,-,Shareholder Returns
SUNPHARMA,2019-03,+,-,-,Reinvestor
SUNPHARMA,2020-03,+,-,-,Shareholder Returns
SUNPHARMA,2021-03,+,+,-,Liquidating Assets
SUNPHARMA,2022-03,+,-,-,Shareholder Returns
SUNPHARMA,2023-03,+,-,+,Mixed
SUNPHARMA,2024-03,+,-,-,Shareholder Returns
TATACONSUM,2013-03,+,+,+,Cash Accumulator
TATACONSUM,2014-03,+,-,-,Reinvestor
TATACONSUM,2015-03,+,-,-,Shareholder Returns
TATACONSUM,2016-03,+,+,-,Liquidating Assets
TATACONSUM,2017-03,+,+,-,Liquidating Assets
TATACONSUM,2018-03,+,-,-,Reinvestor
TATACONSUM,2019-03,+,+,-,Liquidating Assets
TATACONSUM,2020-03,+,-,-,Shareholder Returns
TATACONSUM,2021-03,+,-,-,Shareholder Returns
TATACONSUM,2022-03,+,-,-,Shareholder Returns
TATACONSUM,2023-03,+,-,-,Shareholder Returns
TATACONSUM,2024-03,+,-,+,Mixed
TATAMOTORS,2013-03,+,-,-,Shareholder Returns
TATAMOTORS,2014-03,+,-,-,Shareholder Returns
TATAMOTORS,2015-03,+,-,+,Mixed
TATAMOTORS,2016-03,+,-,-,Shareholder Returns
TATAMOTORS,2017-03,+,-,+,Mixed
TATAMOTORS,2018-03,+,-,+,Mixed
TATAMOTORS,2019-03,+,-,+,Mixed
TATAMOTORS,2020-03,+,-,+,Mixed
TATAMOTORS,2021-03,+,-,+,Mixed
TATAMOTORS,2022-03,+,-,-,Reinvestor
TATAMOTORS,2023-03,+,-,-,Shareholder Returns
TATAMOTORS,2024-03,+,-,-,Shareholder Returns
TATAPOWER,2013-03,+,-,-,Shareholder Returns
TATAPOWER,2014-03,+,-,-,Shareholder Returns
TATAPOWER,2015-03,+,-,-,Shareholder Returns
TATAPOWER,2016-03,+,-,-,Shareholder Returns
TATAPOWER,2017-03,+,-,+,Mixed
TATAPOWER,2018-03,+,-,-,Shareholder Returns
TATAPOWER,2019-03,+,-,-,Shareholder Returns
TATAPOWER,2020-03,+,-,-,Shareholder Returns
TATAPOWER,2021-03,+,+,-,Liquidating Assets
TATAPOWER,2022-03,+,-,-,Shareholder Returns
TATAPOWER,2023-03,+,-,+,Mixed
TATAPOWER,2024-03,+,-,-,Shareholder Returns
TATASTEEL,2013-03,+,-,-,Reinvestor
TATASTEEL,2014-03,+,-,+,Mixed
TATASTEEL,2015-03,+,-,-,Reinvestor
TATASTEEL,2016-03,+,-,-,Reinvestor
TATASTEEL,2017-03,+,-,-,Reinvestor
TATASTEEL,2018-03,+,-,+,Mixed
TATASTEEL,2019-03,+,-,-,Shareholder Returns
TATASTEEL,2020-03,+,-,-,Shareholder Returns
TATASTEEL,2021-03,+,-,-,Shareholder Returns
TATASTEEL,2022-03,+,-,-,Shareholder Returns
TATASTEEL,2023-03,+,-,-,Shareholder Returns
TATASTEEL,2024-03,+,-,-,Reinvestor
TCS,2013-03,+,-,-,Reinvestor
TCS,2014-03,+,-,-,Reinvestor
TCS,2015-03,+,-,-,Reinvestor
TCS,2016-03,+,-,-,Reinvestor
TCS,2017-03,+,-,-,Reinvestor
TCS,2018-03,+,+,-,Liquidating Assets
TCS,2019-03,+,+,-,Liquidating Assets
TCS,2020-03,+,+,-,Liquidating Assets
TCS,2021-03,+,-,-,Shareholder Returns
TCS,2022-03,+,-,-,Shareholder Returns
TCS,2023-03,+,+,-,Liquidating Assets
TCS,2024-03,+,+,-,Liquidating Assets
TECHM,2013-03,+,-,+,Mixed
TECHM,2014-03,+,+,-,Liquidating Assets
TECHM,2015-03,+,-,-,Reinvestor
TECHM,2016-03,+,-,-,Shareholder Returns
TECHM,2017-03,+,-,-,Shareholder Returns
TECHM,2018-03,+,-,-,Reinvestor
TECHM,2019-03,+,-,-,Shareholder Returns
TECHM,2020-03,+,+,-,Liquidating Assets
TECHM,2021-03,+,-,-,Shareholder Returns
TECHM,2022-03,+,+,-,Liquidating Assets
TECHM,2023-03,+,-,-,Shareholder Returns
TECHM,2024-03,+,-,-,Shareholder Returns
TITAN,2013-03,+,-,-,Reinvestor
TITAN,2014-03,-,-,+,Growth Funded by Debt
TITAN,2015-03,+,-,-,Reinvestor
TITAN,2016-03,+,-,-,Reinvestor
TITAN,2017-03,+,-,-,Shareholder Returns
TITAN,2018-03,-,+,-,Mixed
TITAN,2019-03,+,-,-,Reinvestor
TITAN,2020-03,-,+,-,Mixed
TITAN,2021-03,+,-,-,Shareholder Returns
TITAN,2022-03,-,+,-,Mixed
TITAN,2023-03,+,-,+,Mixed
TITAN,2024-03,+,-,-,Reinvestor
TORNTPHARM,2013-03,+,-,+,Mixed
TORNTPHARM,2014-03,+,-,+,Mixed
TORNTPHARM,2015-03,+,-,+,Mixed
TORNTPHARM,2016-03,+,-,-,Shareholder Returns
TORNTPHARM,2017-03,+,-,-,Shareholder Returns
TORNTPHARM,2018-03,+,-,+,Mixed
TORNTPHARM,2019-03,+,-,-,Shareholder Returns
TORNTPHARM,2020-03,+,+,-,Liquidating Assets
TORNTPHARM,2021-03,+,-,-,Shareholder Returns
TORNTPHARM,2022-03,+,-,-,Shareholder Returns
TORNTPHARM,2023-03,+,-,+,Mixed
TORNTPHARM,2024-03,+,-,-,Shareholder Returns
TRENT,2013-03,+,-,+,Mixed
TRENT,2014-03,-,-,-,Pre-Revenue
TRENT,2015-03,-,-,+,Growth Funded by Debt
TRENT,2016-03,+,-,-,Shareholder Returns
TRENT,2017-03,+,-,-,Shareholder Returns
TRENT,2018-03,+,-,-,Reinvestor
TRENT,2019-03,+,-,+,Mixed
TRENT,2020-03,+,-,+,Mixed
TRENT,2021-03,+,+,-,Liquidating Assets
TRENT,2022-03,+,+,-,Liquidating Assets
TRENT,2023-03,+,-,-,Shareholder Returns
TRENT,2024-03,+,-,-,Reinvestor
TVSMOTOR,2013-03,+,-,-,Shareholder Returns
TVSMOTOR,2014-03,+,-,-,Shareholder Returns
TVSMOTOR,2015-03,+,-,+,Mixed
TVSMOTOR,2016-03,+,-,-,Shareholder Returns
TVSMOTOR,2017-03,+,-,-,Shareholder Returns
TVSMOTOR,2018-03,+,-,+,Mixed
TVSMOTOR,2019-03,-,-,+,Growth Funded by Debt
TVSMOTOR,2020-03,+,-,+,Mixed
TVSMOTOR,2021-03,+,-,+,Mixed
TVSMOTOR,2022-03,-,-,+,Growth Funded by Debt
TVSMOTOR,2023-03,-,-,+,Growth Funded by Debt
TVSMOTOR,2024-03,-,-,+,Growth Funded by Debt
ULTRACEMCO,2013-03,+,-,+,Mixed
ULTRACEMCO,2014-03,+,-,-,Shareholder Returns
ULTRACEMCO,2015-03,+,-,-,Shareholder Returns
ULTRACEMCO,2016-03,+,-,-,Shareholder Returns
ULTRACEMCO,2017-03,+,-,-,Shareholder Returns
ULTRACEMCO,2018-03,+,+,-,Liquidating Assets
ULTRACEMCO,2019-03,+,+,-,Liquidating Assets
ULTRACEMCO,2020-03,+,-,-,Shareholder Returns
ULTRACEMCO,2021-03,+,-,-,Shareholder Returns
ULTRACEMCO,2022-03,+,+,-,Liquidating Assets
ULTRACEMCO,2023-03,+,-,-,Shareholder Returns
ULTRACEMCO,2024-03,+,-,-,Shareholder Returns
UNIONBANK,2013-03,-,-,+,Growth Funded by Debt
UNIONBANK,2014-03,+,-,+,Mixed
UNIONBANK,2015-03,-,-,+,Growth Funded by Debt
UNIONBANK,2016-03,+,-,-,Reinvestor
UNIONBANK,2017-03,-,-,+,Growth Funded by Debt
UNIONBANK,2018-03,+,-,+,Mixed
UNIONBANK,2019-03,-,-,+,Growth Funded by Debt
UNIONBANK,2020-03,-,-,+,Growth Funded by Debt
UNIONBANK,2021-03,+,-,-,Shareholder Returns
UNIONBANK,2022-03,+,-,-,Shareholder Returns
UNIONBANK,2023-03,+,-,-,Reinvestor
UNIONBANK,2024-03,+,-,-,Shareholder Returns
INDIGO,2013-03,+,-,+,Mixed
INDIGO,2014-03,+,-,+,Mixed
INDIGO,2015-03,+,-,-,Shareholder Returns
INDIGO,2016-03,+,-,-,Shareholder Returns
INDIGO,2017-03,+,-,-,Shareholder Returns
INDIGO,2018-03,+,-,+,Mixed
INDIGO,2019-03,+,-,-,Shareholder Returns
INDIGO,2020-03,+,-,-,Reinvestor
INDIGO,2021-03,-,+,-,Mixed
INDIGO,2022-03,+,+,-,Liquidating Assets
INDIGO,2023-03,+,-,-,Reinvestor
INDIGO,2024-03,+,-,-,Shareholder Returns
